qid,question,options,q_image,answer_q,subject,contain_img,img_file,user_id
im1,,"[(i),(ii),(iii),(iv)]",im1.png,(iii),math,1,images/im1.png,admin
im10,,"[85.18x + 1.51,85.18 + 1.51x, None of the other choices is correct,85.18 - 1.51x,85.18x - 1.51]",im10.png,85.18 + 1.51x,math,1,images/im10.png,admin
im100,,"[4, None of the others, 10, 20, 5]",im100.png,4,math,1,images/im100.png,admin
im101,,"[0.35,0.05, None of the other choices is correct, 0.37]",im101.png,0.05,math,1,images/im101.png,admin
im102,"A machine is producing metal pieces that are cylindrical in shape. A sample of pieces is taken and the diameters are 
1.01,0.97, 1.03, 1.04,0.99,0.98 0.99, 1.01, 1.03 centimetress) .
From this sample one can compute a mean of 1.005 anda  standard deviation of 0.025 
Find a 999 confidence interval for the mean diameter of pieces from this machine, assuming an approximate normal distribution.","[0.35,0.05, None of the other choices is correct, 0.37]",im102.png,0.37,math,1,images/im102.png,admin
im103,,"[None of the other choice is correct, 0.38,0.11,0.73,2.13]",im103.png,0.73,math,1,images/im103.png,admin
im104,,"[(1006.58;1013.42),(1006.08;1013.92),(1005.88;1014.12),(1006.70;1013.30)]",im104.png,"(1006.08,1013.92)",math,1,images/im104.png,admin
im105,"Expedia would like to test the hypothesis that the proportion of United Airlines flights that arrive on time is less than 0.80. A random sample of 110 United Airlines flights found
that 82 arrived on-time Expedia would like to set the significant level to be 0.02 What is the value of the critical value for this hypothesis test?","[None of the other choices is correct, 1.28,-2.05,2.33,-1.645]",im105.png,2.33,math,1,images/im105.png,admin
im106,,"[-6.14,-5.32,5.32,6.14,None of the other choices is correct]",im106.png,5.32,math,1,images/im106.png,admin
im107,,"[0.894,0.789,0.687,0.978]",im107.png,0.789,math,1,images/im107.png,admin
im108,A random sample of 150 students has a grade a point  average with a mean of 2.86. Assume the population standard deviation is 0.78. Construct the confidence interval for the population mean.  Use a 98% confidence level.,"[(2.71;3.01),(2.31;3.88),(2.43;3.79),(2.51;3.53),None of the other choices is correct]",im108.png,(2.31;3.88),math,1,images/im108.png,admin
